Evidence,Property,Source,Genome ID,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,Antibiotics Class,Antibiotics,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"K-mer Search","Antibiotic Resistance","PATRIC","562.64262","Escherichia coli strain SE6-1","fig|562.64262.peg.3708",,,,,"folA, Dfr","Dihydrofolate reductase (EC 1.5.1.3)","Dihydrofolate reductase (EC 1.5.1.3)","antibiotic target in susceptible species","Diaminopyrimidines","trimethoprim;brodimoprim;tetroxoprim;iclaprim","20169085;25288078",,,,
"BLAT","Antibiotic Resistance","CARD","562.99848","Escherichia coli ed7cdf32-7bb8-11e9-a8d3-68b59976a384","fig|562.99848.peg.3256",,,"BAE77595.1","Escherichia coli str. K-12 substr. W3110","gyrB","DNA gyrase subunit B (EC 5.99.1.3)",,"aminocoumarin resistance gene,antibiotic resistant gene variant or mutant",,,,100,100,99,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.99849","Escherichia coli f7dc3536-7bb8-11e9-a8d3-68b59976a384","fig|562.99849.peg.808",,,,,"MdtABC-TolC","Multidrug efflux system MdtABC-TolC, inner-membrane proton/drug antiporter MdtC (RND type)","Multidrug efflux system MdtABC-TolC, inner-membrane proton/drug antiporter MdtC (RND type)","efflux pump conferring antibiotic resistance","Aminocoumarin antibiotics","novobiocin","12107134",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.100664","Escherichia coli 9f6e875a-7bb8-11e9-a8d3-68b59976a384","fig|562.100664.peg.3339",,,,,"OxyR","Hydrogen peroxide-inducible genes activator => OxyR","Hydrogen peroxide-inducible genes activator => OxyR","regulator modulating expression of antibiotic resistance genes","Isoniazid","isoniazid","25799046",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.99918","Escherichia coli 577a1ed6-7bb9-11e9-a8d3-68b59976a384","fig|562.99918.peg.4890",,,,,"EF-Tu","Translation elongation factor Tu","Translation elongation factor Tu","antibiotic target in susceptible species","Elfamycins","kirromycin;enacyloxin IIa;pulvomycin","364475;9678602",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.99913","Escherichia coli d524b3fa-7bb9-11e9-a8d3-68b59976a384","fig|562.99913.peg.2676",,,,,"EmrAB-TolC","Multidrug resistance regulator EmrR (MprA)","Multidrug resistance regulator EmrR (MprA)","regulator modulating expression of antibiotic resistance genes","Fluoroquinolones Quinolones Quinolines","nalidixic acid","7730261",,,,
"BLAT","Antibiotic Resistance","CARD","562.102088","Escherichia coli Map_175_003","fig|562.102088.peg.1443",,,"YP_491222.1","Escherichia coli str. K-12 substr. W3110","parE","DNA topoisomerase IV subunit B (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,46,100,99,"1e-166"
"BLASTP","Antibiotic Resistance","CARD","562.17411","Escherichia coli strain WCHEC33","fig|562.17411.peg.4245",,,"CP000034.1.gene2198.p01","Shigella dysenteriae Sd197",,"AsmA protein",,"ARO:3000493,ARO:1000001",,,"",100,100,97,"0"
"BLAT","Antibiotic Resistance","CARD","562.100611","Escherichia coli 998ba19c-7bb8-11e9-a8d3-68b59976a384","fig|562.100611.peg.646",,,"YP_491362.1","Escherichia coli str. K-12 substr. W3110","folP","Dihydropteroate synthase (EC 2.5.1.15)",,"antibiotic resistant gene variant or mutant,sulfonamide resistance gene",,,,100,100,99,"1e-158"
"BLAT","Antibiotic Resistance","CARD","562.102124","Escherichia coli SMG008U","fig|562.102124.peg.4055","MRS97_06120",,"YP_489201.1","Escherichia coli str. K-12 substr. W3110","ompF","Outer membrane porin OmpF",,"antibiotic resistant gene variant or mutant,beta-lactam resistance gene,gene modulating permeability to antibiotic",,,,100,100,100,"1e-215"
"K-mer Search","Antibiotic Resistance","PATRIC","562.102257","Escherichia coli Col726","fig|562.102257.peg.4854","K9T51_10695",,,,"EF-G","Translation elongation factor G","Translation elongation factor G","antibiotic target in susceptible species","Fusidic acid","fusidic acid","17980694",,,,
"BLAT","Antibiotic Resistance","CARD","562.102224","Escherichia coli IBD_EPEC10","fig|562.102224.peg.4480","E4520_14980",,"AAC76297.1","Escherichia coli str. K-12 substr. MG1655","acrE","Multidrug efflux system AcrEF-TolC, membrane fusion component AcrE",,"efflux pump conferring antibiotic resistance",,,,100,100,98,"1e-214"
"BLAT","Antibiotic Resistance","CARD","562.59101","Escherichia coli strain M-23-X3","fig|562.59101.peg.1905",,,"CDJ73208","Escherichia coli str. K-12 substr. MC4100","UhpT","Hexose phosphate transport protein UhpT",,"antibiotic resistant gene variant or mutant,fosfomycin resistance gene",,,,100,100,100,"1e-270"
"K-mer Search","Antibiotic Resistance","PATRIC","562.99920","Escherichia coli 585745f4-7bb9-11e9-a8d3-68b59976a384","fig|562.99920.peg.2238",,,,,"Ddl","D-alanine--D-alanine ligase (EC 6.3.2.4)","D-alanine--D-alanine ligase (EC 6.3.2.4)","antibiotic target in susceptible species","Cycloserine","D-cycloserine","24303782;24033232",,,,
"BLAT","Antibiotic Resistance","CARD","562.39119","Escherichia coli strain B3866","fig|562.39119.peg.952",,,"AAA50993.1","Escherichia coli",,"Translation elongation factor Tu",,"antibiotic resistant gene variant or mutant,elfamycin resistance gene",,,,87,100,100,"1e-199"
"K-mer Search","Antibiotic Resistance","PATRIC","562.30509","Escherichia coli strain LN48","fig|562.30509.peg.3339",,,,,,"LSU ribosomal protein L6p (L9e)",,"antibiotic target in susceptible species","fusidic acid","fusidic acid","19289529;17923494",,,,
"BLAT","Antibiotic Resistance","CARD","562.101969","Escherichia coli SMG002F6","fig|562.101969.peg.2964","ML341_21565",,"NP_312937.1","Escherichia coli O157:H7 str. Sakai","rpoB","DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)",,"antibiotic resistant gene variant or mutant,rifampin resistance gene",,,,100,100,100,"0.0"
"BLAT","Antibiotic Resistance","CARD","562.102070","Escherichia coli Map_168_003","fig|562.102070.peg.706",,,"AML99881.1","Salmonella enterica subsp. enterica serovar Typhimurium","mdtK","Uncharacterized transporter YeeO",,"efflux pump conferring antibiotic resistance",,,,99,97,82,"1e-232"
"BLAT","Antibiotic Resistance","CARD","562.102189","Escherichia coli CNTRL_EPEC47","fig|562.102189.peg.3881","E4509_08730",,"NP_414618.4","Escherichia coli str. K-12 substr. MG1655","leuO","LysR family transcriptional activator LeuO",,"gene modulating antibiotic efflux,sulfonamide resistance gene",,,,100,100,99,"1e-180"
"K-mer Search","Antibiotic Resistance","PATRIC","562.99899","Escherichia coli ac401b8c-7bb9-11e9-a8d3-68b59976a384","fig|562.99899.peg.1015",,,,,"folP","Dihydropteroate synthase (EC 2.5.1.15)","Dihydropteroate synthase (EC 2.5.1.15)","antibiotic target in susceptible species","Sulfonamides","sulfadiazine;sulfadimidine;sulfadoxine;sulfamethoxazole;sulfisoxazole;sulfacetamide;mafenide;sulfasalazine;sulfamethizole;dapsone","15673783",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.99784","Escherichia coli d3732fa6-7bb8-11e9-a8d3-68b59976a384","fig|562.99784.peg.982",,,,,"folP","Dihydropteroate synthase (EC 2.5.1.15)","Dihydropteroate synthase (EC 2.5.1.15)","antibiotic target in susceptible species","Sulfonamides","sulfadiazine;sulfadimidine;sulfadoxine;sulfamethoxazole;sulfisoxazole;sulfacetamide;mafenide;sulfasalazine;sulfamethizole;dapsone","15673783",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","1308984.3","Escherichia coli HM69","fig|1308984.3.peg.2793",,"VBIEscCol294980_2793",,,,"DNA gyrase subunit B (EC 5.99.1.3)",,"antibiotic target in susceptible species","fluoroquinolones quinolones quinolines,aminocoumarin antibiotics","clofazimine;gatifloxacin;ciprofloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;novobiocin;coumermycin a1;clorobiocin;coumermycin;trovafloxacin","21693461;22279180;9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.61679","Escherichia coli strain ME2L-18-32","fig|562.61679.peg.4189","DNN92_05255",,"NP_418540.1","Escherichia coli str. K-12 substr. MG1655","adiY","Transcriptional regulator of catabolic arginine decarboxylase (adiA)",,"efflux pump conferring antibiotic resistance",,,,100,100,100,"1e-145"
"BLAT","Antibiotic Resistance","CARD","562.67131","Escherichia coli strain UoL_73","fig|562.67131.peg.90","IH647_00435",,"YP_491362.1","Escherichia coli str. K-12 substr. W3110","folP","Dihydropteroate synthase (EC 2.5.1.15)",,"antibiotic resistant gene variant or mutant,sulfonamide resistance gene",,,,100,100,100,"1e-158"
"BLAT","Antibiotic Resistance","CARD","562.102121","Escherichia coli SMG016F4a","fig|562.102121.peg.1137","MRT06_00395",,"AIL15701","Escherichia coli ATCC 25922","murA","UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)",,"antibiotic resistant gene variant or mutant,fosfomycin resistance gene",,,,100,100,100,"1e-239"
"BLAT","Antibiotic Resistance","CARD","562.102269","Escherichia coli Gb685","fig|562.102269.peg.3537","K9T97_19100",,"BAE78084.1","Escherichia coli str. K-12 substr. W3110","mdtN","Inner membrane component MdtN of tripartite multidrug resistance system",,"efflux pump conferring antibiotic resistance",,,,100,100,99,"1e-188"
"K-mer Search","Antibiotic Resistance","PATRIC","562.68730","Escherichia coli strain STEC2017-197","fig|562.68730.peg.4258","JFX55_20550",,,,"OxyR","Hydrogen peroxide-inducible genes activator => OxyR","Hydrogen peroxide-inducible genes activator => OxyR","regulator modulating expression of antibiotic resistance genes","Isoniazid","isoniazid","25799046",,,,
"BLAT","Antibiotic Resistance","CARD","562.100599","Escherichia coli 5c0e91de-7bb9-11e9-a8d3-68b59976a384","fig|562.100599.peg.4005",,,"AAC75733.1","Escherichia coli str. K-12 substr. MG1655","emrB","Multidrug efflux system EmrAB-OMF, inner-membrane proton/drug antiporter EmrB (MFS type)",,"efflux pump conferring antibiotic resistance",,"nalidixic acid",,100,100,99,"1e-300"
"BLAT","Antibiotic Resistance","CARD","562.102087","Escherichia coli Map_177_003","fig|562.102087.peg.3986",,,"BAA15934.1","Escherichia coli str. K-12 substr. W3110","baeS","Sensory histidine kinase BaeS",,"efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,,,100,100,100,"1e-272"
"BLAT","Antibiotic Resistance","CARD","562.37063","Escherichia coli strain CVM N17EC0096","fig|562.37063.peg.2973","D9D61_14375",,"AAC75733.1","Escherichia coli str. K-12 substr. MG1655","emrB","Multidrug efflux system EmrAB-OMF, inner-membrane proton/drug antiporter EmrB (MFS type)",,"efflux pump conferring antibiotic resistance",,"nalidixic acid",,100,100,100,"1e-300"
"BLAT","Antibiotic Resistance","CARD","562.102082","Escherichia coli Map_122_012","fig|562.102082.peg.3316",,,"BAE78083.1","Escherichia coli str. K-12 substr. W3110","mdtO","Membrane fusion component MdtO of tripartite multidrug resistance system",,"efflux pump conferring antibiotic resistance",,,,53,100,99,"1e-214"
"BLAT","Antibiotic Resistance","CARD","562.102200","Escherichia coli CNTRL_EPEC38","fig|562.102200.peg.4357","E4501_13425",,"NP_309766.1","Escherichia coli O157:H7 str. Sakai","H-NS","DNA-binding protein H-NS",,"efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,,,100,100,100,"1e-70"
"K-mer Search","Antibiotic Resistance","PATRIC","562.102319","Escherichia coli JNE192124","fig|562.102319.peg.3569",,,,,"MarA","Multiple antibiotic resistance protein MarA","Multiple antibiotic resistance protein MarA","antibiotic resistance gene cluster,cassette,or operon","Penems, Penams, Carbapenems, Cephamycins, Cephalosporins, Monobactams, Tetracyclines, Rifamycins, Phenicol antibiotics, Glycylcyclines, Fluoroquinolones Quinolones Quinolines, Triclosan","cefalothin;chloramphenicol;tigecycline;ampicillin;tetracycline;rifampin","8383113;9068629",,,,
"BLAT","Antibiotic Resistance","CARD","562.102148","Escherichia coli EC_1144","fig|562.102148.peg.4495","MRY39_20675",,"BAE78083.1","Escherichia coli str. K-12 substr. W3110","mdtO","Membrane fusion component MdtO of tripartite multidrug resistance system",,"efflux pump conferring antibiotic resistance",,,,100,100,99,"0.0"
"BLAT","Antibiotic Resistance","CARD","562.102149","Escherichia coli YZ21HCE4","fig|562.102149.peg.3549","MRY41_17090",,"NP_418540.1","Escherichia coli str. K-12 substr. MG1655","adiY","Transcriptional regulator of catabolic arginine decarboxylase (adiA)",,"efflux pump conferring antibiotic resistance",,,,100,100,99,"1e-145"
"K-mer Search","Antibiotic Resistance","PATRIC","562.102211","Escherichia coli IBD_EPEC24","fig|562.102211.peg.479","E4521_18755",,,,"KatG","Catalase-peroxidase KatG (EC 1.11.1.21)","Catalase-peroxidase KatG (EC 1.11.1.21)","antibiotic activation enzyme","Isoniazid","isoniazid","14638486",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.102283","Escherichia coli Col54","fig|562.102283.peg.3946","K9T59_15035",,,,"MdfA/Cmr","Multidrug efflux pump MdfA/Cmr (of MFS type), broad spectrum","Multidrug efflux pump MdfA/Cmr (of MFS type), broad spectrum","efflux pump conferring antibiotic resistance","Multiple antibiotic resistance, Tetracyclines, Quaternary ammonium compounds","tetracycline;rhodamine;benzalkonium chloride","9079913",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.102148","Escherichia coli EC_1144","fig|562.102148.peg.1650","MRY39_10170",,,,"MurA","UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)","UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)","antibiotic target in susceptible species","Fosfomycin","fosfomycin","8994972",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.101991","Escherichia coli B619_005","fig|562.101991.peg.3597",,,,,"Ddl","D-alanine--D-alanine ligase (EC 6.3.2.4)","D-alanine--D-alanine ligase (EC 6.3.2.4)","antibiotic target in susceptible species","Cycloserine","D-cycloserine","24303782;24033232",,,,
"BLAT","Antibiotic Resistance","CARD","562.39233","Escherichia coli strain 710885","fig|562.39233.peg.2686",,,"NP_311275.1","Escherichia coli O157:H7 str. Sakai","evgA","Positive transcription regulator EvgA",,"efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,,,100,100,100,"1e-112"
"BLAT","Antibiotic Resistance","CARD","562.10079","Escherichia coli strain GN06136","fig|562.10079.peg.2413","AWG97_06045",,"AEJ33969.1","Vibrio fluvialis",,"Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein",,"antibiotic target replacement protein;sulfonamide resistance gene",,"sulfadiazine;sulfadimidine;sulfadoxine;sulfamethoxazole;sulfisoxazole;sulfacetamide;mafenide;sulfasalazine;sulfamethizole;sulfamethazine",,100,100,100,"1e-156"
"BLAT","Antibiotic Resistance","CARD","562.99948","Escherichia coli 630641da-7bb9-11e9-a8d3-68b59976a384","fig|562.99948.peg.4734",,,"AAC77293.1","Escherichia coli str. K-12 substr. MG1655","mdtM","Multidrug efflux pump MdtM (of MFS type)",,"efflux pump conferring antibiotic resistance",,,,99,99,97,"1e-227"
"BLAT","Antibiotic Resistance","CARD","562.100598","Escherichia coli 5bfc76b6-7bb9-11e9-a8d3-68b59976a384","fig|562.100598.peg.4676",,,"NP_312937.1","Escherichia coli O157:H7 str. Sakai","rpoB","DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)",,"antibiotic resistant gene variant or mutant,rifampin resistance gene",,,,100,100,100,"0.0"
"BLAT","Antibiotic Resistance","CARD","562.99783","Escherichia coli c8d2e410-7bb8-11e9-a8d3-68b59976a384","fig|562.99783.peg.2695",,,"CDJ73208","Escherichia coli str. K-12 substr. MC4100","UhpT","Hexose phosphate transport protein UhpT",,"antibiotic resistant gene variant or mutant,fosfomycin resistance gene",,,,100,100,100,"1e-270"
"K-mer Search","Antibiotic Resistance","PATRIC","562.102050","Escherichia coli Map_8_014","fig|562.102050.peg.36",,,,,"H-NS","DNA-binding protein H-NS","DNA-binding protein H-NS","regulator modulating expression of antibiotic resistance genes","Penams, Cephamycins, Cephalosporins, Fluoroquinolones Quinolones Quinolines, Macrolides, Tetracyclines","cloxacillin;oxacillin;ciprofloxacin;norfloxacin;erythromycin;tetracycline ","14973023",,,,
"BLAT","Antibiotic Resistance","CARD","562.102021","Escherichia coli Map_26_012","fig|562.102021.peg.4151",,,"BAE77933.1","Escherichia coli str. K-12 substr. W3110","CRP","Cyclic AMP receptor protein",,"efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,,,100,100,99,"1e-116"
"BLAT","Antibiotic Resistance","CARD","562.99778","Escherichia coli d0198170-7bb8-11e9-a8d3-68b59976a384","fig|562.99778.peg.1902",,,"AIL15701","Escherichia coli ATCC 25922","murA","UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)",,"antibiotic resistant gene variant or mutant,fosfomycin resistance gene",,,,100,100,100,"1e-239"
"BLAT","Antibiotic Resistance","CARD","562.100598","Escherichia coli 5bfc76b6-7bb9-11e9-a8d3-68b59976a384","fig|562.100598.peg.2735",,,"YP_492255.1","Escherichia coli str. K-12 substr. W3110","PmrB","Sensor protein BasS/PmrB (activates BasR/PmrA)",,"",,,,100,99,99,"1e-201"
"BLAT","Antibiotic Resistance","CARD","562.99938","Escherichia coli 6bbfa370-7bb9-11e9-a8d3-68b59976a384","fig|562.99938.peg.4678",,,"AAA50993.1","Escherichia coli",,"Translation elongation factor Tu",,"antibiotic resistant gene variant or mutant,elfamycin resistance gene",,,,11,97,100,"4e-18"
"BLAT","Antibiotic Resistance","CARD","562.100019","Escherichia coli 8b3954a4-7bb8-11e9-a8d3-68b59976a384","fig|562.100019.peg.4198",,,"BAE78084.1","Escherichia coli str. K-12 substr. W3110","mdtN","Inner membrane component MdtN of tripartite multidrug resistance system",,"efflux pump conferring antibiotic resistance",,,,100,100,98,"1e-186"
"K-mer Search","Antibiotic Resistance","PATRIC","562.99890","Escherichia coli b2f021a2-7bb9-11e9-a8d3-68b59976a384","fig|562.99890.peg.3419",,,,,"OxyR","Hydrogen peroxide-inducible genes activator => OxyR","Hydrogen peroxide-inducible genes activator => OxyR","regulator modulating expression of antibiotic resistance genes","Isoniazid","isoniazid","25799046",,,,
"BLAT","Antibiotic Resistance","CARD","562.102295","Escherichia coli Col202","fig|562.102295.peg.1611","K9T70_22660",,"CDJ72593","Escherichia coli str. K-12 substr. MC4100","GlpT","Glycerol-3-phosphate transporter",,"antibiotic resistant gene variant or mutant,fosfomycin resistance gene",,,,100,100,99,"1e-274"
"K-mer Search","Antibiotic Resistance","PATRIC","562.102033","Escherichia coli Map_57_009","fig|562.102033.peg.77",,,,,"MarB","Multiple antibiotic resistance protein MarB","Multiple antibiotic resistance protein MarB","antibiotic resistance gene cluster,cassette,or operon","Penems, Penams, Carbapenems, Cephamycins, Cephalosporins, Monobactams, Tetracyclines, Rifamycins, Phenicol antibiotics,  Glycylcyclines, Fluoroquinolones Quinolones Quinolines, Triclosan","cefalothin;chloramphenicol;tigecycline;ampicillin;tetracycline;rifampin","8383113;9068629",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.102050","Escherichia coli Map_8_014","fig|562.102050.peg.839",,,,,"EmrKY-TolC","Multidrug efflux system EmrKY-TolC, membrane fusion component EmrK","Multidrug efflux system EmrKY-TolC, membrane fusion component EmrK","efflux pump conferring antibiotic resistance","Tetracyclines�","tetracycline","20128927;12501312",,,,
"BLAT","Antibiotic Resistance","CARD","562.46504","Escherichia coli strain FWSEC0321","fig|562.46504.peg.3218","C9097_14325",,"AAC76298.1","Escherichia coli str. K-12 substr. MG1655","acrF","Multidrug efflux system AcrEF-TolC, inner-membrane proton/drug antiporter AcrF (RND type)",,"efflux pump conferring antibiotic resistance",,,,100,100,99,"0.0"
"BLAT","Antibiotic Resistance","CARD","562.46952","Escherichia coli strain JML036","fig|562.46952.peg.5101","HmCmsJML036_04641",,"NP_417177.1","Escherichia coli str. K-12 substr. MG1655","alaS","Alanyl-tRNA synthetase (EC 6.1.1.7)",,"aminocoumarin resistance gene",,,,100,100,99,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.99887","Escherichia coli f54e5c0e-7bb8-11e9-a8d3-68b59976a384","fig|562.99887.peg.4455",,,,,"MarR","Multiple antibiotic resistance protein MarR","Multiple antibiotic resistance protein MarR","antibiotic resistance gene cluster,cassette,or operon","Penams, Carbapenems, Cephamycins, Cephalosporins, Monobactams, Tetracyclines, Rifamycins, Phenicol antibiotics,  Glycylcyclines, Fluoroquinolones Quinolones Quinolines, Triclosan","cefalothin;chloramphenicol;tigecycline;ampicillin;tetracycline;rifampin","7768850;8282690;8383113;9068629",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.100675","Escherichia coli 8088347a-7bb9-11e9-a8d3-68b59976a384","fig|562.100675.peg.216",,,,,"EmrKY-TolC","Multidrug efflux system EmrKY-TolC, inner-membrane proton/drug antiporter EmrY (MFS type)","Multidrug efflux system EmrKY-TolC, inner-membrane proton/drug antiporter EmrY (MFS type)","efflux pump conferring antibiotic resistance","Tetracyclines�","tetracycline","20128927;12501312",,,,
